                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7895,                 1.8778,                 1.0413,                0.23712,                0.18659,                0.15159,                0.07601,                 1.7795,                 1.5981,                  1.013,               0.067081,             0.00033251,             0.00033251
                      1,                 1.8114,                 1.8434,                 1.0495,                0.21522,                0.19514,                0.14675,                0.06086,                   2.14,                 1.5744,                 1.0737,               0.067041,             0.00033292,             0.00033292
                      2,                 1.6915,                   1.47,                 1.0179,                0.40663,                0.23972,                0.21675,                0.11635,                  1.611,                 1.3292,                0.96878,               0.034041,             0.00066609,             0.00066609
                      3,                 1.6484,                 1.3849,                 1.0053,                0.35854,                0.25346,                0.23266,                0.12636,                 1.6156,                 1.2174,                0.96629,              0.0010398,             0.00099861,             0.00099861
                      1,                 1.8114,                 1.8434,                 1.0495,                0.21522,                0.19514,                0.14675,                0.06086,                   2.14,                 1.5744,                 1.0737,               0.067041,             0.00033292,             0.00033292
                      1,                 1.8114,                 1.8434,                 1.0495,                0.21522,                0.19514,                0.14675,                0.06086,                   2.14,                 1.5744,                 1.0737,               0.067041,             0.00033292,             0.00033292
                      2,                 1.6914,                 1.4697,                 1.0166,                0.31964,                0.25477,                0.22201,                  0.118,                 1.6587,                 1.2999,                0.97667,                0.03404,              0.0006656,              0.0006656
                      3,                 1.6469,                 1.3846,                 1.0045,                0.41577,                0.25907,                0.23667,                0.12791,                 1.6111,                  1.204,                0.96366,              0.0010369,             0.00099569,             0.00099569
                      4,                 1.6179,                 1.3302,                0.99681,                0.34679,                0.27599,                 0.2538,                0.14174,                 1.5103,                 1.1611,                0.95103,             0.00099123,             0.00099123,             0.00099123
                      5,                 1.5901,                  1.281,                0.99023,                0.35516,                0.29566,                0.26426,                0.14651,                 1.4928,                 1.1474,                0.94282,             0.00098445,             0.00098445,             0.00098445
                      6,                 1.5679,                 1.2472,                0.98414,                0.36149,                0.29882,                0.27647,                 0.1547,                 1.4673,                 1.1009,                0.93368,             0.00097577,             0.00097577,             0.00097577
                      7,                 1.5632,                   1.23,                0.98041,                0.35998,                 0.3152,                0.28856,                0.16047,                 1.5045,                 1.1135,                 0.9412,             0.00096524,             0.00096524,             0.00096524
                      8,                 1.5419,                 1.2085,                0.97645,                0.38785,                0.31496,                0.29401,                0.16549,                 1.4545,                 1.0797,                0.93339,             0.00095289,             0.00095289,             0.00095289
                      9,                 1.5289,                 1.1932,                0.97364,                0.38831,                0.29943,                0.29187,                0.16628,                  1.417,                 1.0768,                0.92855,             0.00093877,             0.00093877,             0.00093877
                     10,                 1.5197,                 1.1741,                0.97049,                0.39692,                0.31452,                0.29897,                 0.1711,                 1.4167,                 1.0522,                0.92655,             0.00092294,             0.00092294,             0.00092294
                     11,                 1.5074,                 1.1563,                0.96591,                0.41417,                0.31614,                0.30984,                0.17504,                 1.4245,                 1.0581,                0.92334,             0.00090546,             0.00090546,             0.00090546
                     12,                 1.5107,                 1.1568,                 0.9662,                0.40411,                0.32209,                0.30893,                0.17808,                 1.3877,                 1.0338,                0.91786,              0.0008864,              0.0008864,              0.0008864
                     13,                  1.499,                 1.1417,                0.96219,                0.42618,                0.31327,                0.31127,                0.18045,                 1.3888,                 1.0406,                0.92045,             0.00086584,             0.00086584,             0.00086584
                     14,                 1.4821,                 1.1293,                 0.9589,                0.42525,                0.32716,                0.32231,                0.18293,                 1.4118,                 1.0262,                0.92395,             0.00084385,             0.00084385,             0.00084385
                     15,                 1.4728,                 1.1161,                0.95816,                 0.4049,                0.33425,                 0.3176,                0.18229,                 1.3766,                 1.0248,                0.91767,             0.00082052,             0.00082052,             0.00082052
                     16,                 1.4629,                 1.1022,                 0.9555,                0.42203,                0.33592,                0.32706,                0.18587,                 1.4148,                 1.0153,                 0.9212,             0.00079595,             0.00079595,             0.00079595
                     17,                 1.4639,                 1.0998,                0.95474,                0.43681,                 0.3347,                0.33056,                0.18916,                 1.3699,                 1.0001,                0.91464,             0.00077023,             0.00077023,             0.00077023
                     18,                 1.4481,                 1.0787,                 0.9511,                0.41844,                0.34138,                0.33241,                 0.1911,                 1.3868,                  1.006,                0.91557,             0.00074347,             0.00074347,             0.00074347
                     19,                 1.4471,                 1.0804,                0.95281,                0.43611,                0.34889,                 0.3416,                0.19656,                 1.3699,                0.99524,                0.91446,             0.00071576,             0.00071576,             0.00071576
                     20,                 1.4357,                 1.0669,                0.94815,                0.45217,                0.34125,                0.34109,                0.19498,                 1.3578,                0.97776,                0.90979,             0.00068722,             0.00068722,             0.00068722
                     21,                 1.4337,                 1.0622,                0.94819,                0.44521,                0.34769,                0.34345,                0.19768,                 1.3467,                0.98294,                0.90925,             0.00065796,             0.00065796,             0.00065796
                     22,                 1.4292,                 1.0552,                 0.9479,                0.42966,                0.34511,                0.33657,                0.19396,                 1.3597,                0.98773,                0.91114,              0.0006281,              0.0006281,              0.0006281
                     23,                 1.4203,                 1.0433,                0.94321,                0.44474,                0.35208,                0.34756,                0.20017,                 1.3407,                0.96246,                0.90738,             0.00059775,             0.00059775,             0.00059775
                     24,                 1.4141,                 1.0371,                0.94114,                0.44904,                0.35485,                 0.3508,                 0.2009,                 1.3642,                0.96758,                0.90983,             0.00056704,             0.00056704,             0.00056704
                     25,                 1.3997,                 1.0211,                0.93834,                0.45711,                0.35568,                0.35581,                0.20842,                 1.3335,                0.95616,                0.90576,             0.00053608,             0.00053608,             0.00053608
                     26,                 1.4015,                 1.0189,                0.93924,                0.45821,                0.34711,                0.35194,                0.20557,                 1.3465,                0.96108,                0.90737,               0.000505,               0.000505,               0.000505
                     27,                 1.3919,                 1.0063,                 0.9352,                0.46368,                0.35652,                0.36114,                0.21127,                 1.3214,                0.94585,                  0.902,             0.00047392,             0.00047392,             0.00047392
                     28,                 1.3939,                 1.0104,                0.93578,                0.46245,                0.36351,                0.36403,                0.21229,                 1.3246,                0.93764,                0.90137,             0.00044296,             0.00044296,             0.00044296
                     29,                 1.3829,                0.99578,                0.93489,                0.46635,                0.35833,                0.36255,                0.21186,                 1.3285,                0.94169,                0.90502,             0.00041225,             0.00041225,             0.00041225
                     30,                 1.3749,                0.99124,                0.93267,                0.46158,                0.35989,                0.36396,                0.21422,                 1.3075,                0.93562,                0.89947,              0.0003819,              0.0003819,              0.0003819
                     31,                 1.3745,                0.98791,                 0.9301,                0.47168,                0.36041,                0.36748,                0.21641,                 1.3068,                0.93241,                0.89978,             0.00035204,             0.00035204,             0.00035204
                     32,                 1.3696,                0.98076,                0.93022,                0.47321,                0.36679,                0.36961,                0.21574,                 1.3291,                0.92944,                0.90061,             0.00032278,             0.00032278,             0.00032278
                     33,                 1.3552,                0.96898,                0.92716,                0.47967,                0.35946,                0.37051,                0.21761,                 1.3066,                0.92773,                0.89955,             0.00029424,             0.00029424,             0.00029424
                     34,                 1.3558,                0.97001,                0.92566,                0.45732,                0.37014,                0.36991,                0.21767,                 1.2975,                0.92144,                0.89767,             0.00026653,             0.00026653,             0.00026653
                     35,                 1.3564,                0.96244,                0.92562,                0.47986,                0.37008,                0.37334,                0.21858,                 1.3148,                0.92138,                0.89867,             0.00023977,             0.00023977,             0.00023977
                     36,                 1.3483,                0.95616,                0.92466,                0.47424,                 0.3698,                0.37531,                 0.2202,                 1.3118,                0.91553,                0.89917,             0.00021405,             0.00021405,             0.00021405
                     37,                 1.3391,                0.94816,                0.92194,                0.48629,                 0.3634,                0.37392,                 0.2216,                  1.283,                0.91159,                0.89448,             0.00018948,             0.00018948,             0.00018948
                     38,                 1.3335,                0.94458,                0.92277,                0.47164,                0.37551,                0.37794,                 0.2224,                 1.2963,                0.91193,                0.89621,             0.00016615,             0.00016615,             0.00016615
                     39,                  1.328,                0.93158,                0.91936,                0.47782,                0.37338,                0.37937,                0.22497,                 1.2727,                0.90479,                0.89223,             0.00014416,             0.00014416,             0.00014416
                     40,                 1.3263,                0.93561,                0.91889,                0.48946,                  0.367,                0.37811,                0.22467,                 1.2811,                0.90903,                0.89314,              0.0001236,              0.0001236,              0.0001236
                     41,                 1.3283,                0.93456,                 0.9198,                0.48555,                0.37226,                0.37983,                0.22426,                 1.2853,                0.90516,                0.89458,             0.00010454,             0.00010454,             0.00010454
                     42,                 1.3214,                0.92609,                0.91997,                0.48481,                0.37266,                0.38084,                0.22515,                 1.2834,                0.90136,                0.89279,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     43,                 1.2651,                0.86418,                0.90695,                0.48249,                 0.3696,                0.37475,                0.22094,                  1.289,                0.91079,                0.89498,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     44,                 1.2587,                0.85215,                0.90603,                 0.4832,                0.37391,                0.37803,                0.22338,                  1.274,                 0.9053,                0.89233,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     45,                 1.2533,                0.84491,                 0.9041,                0.47937,                0.37281,                0.37726,                0.22369,                 1.2726,                0.90304,                0.89171,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     46,                 1.2496,                0.84185,                  0.904,                0.47462,                0.37546,                0.37694,                0.22272,                 1.2794,                0.90366,                0.89311,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     47,                  1.247,                 0.8411,                0.90236,                 0.4748,                0.37445,                0.37752,                0.22251,                 1.2807,                0.90515,                0.89296,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     48,                 1.2486,                0.83812,                 0.9021,                0.47362,                0.37785,                0.37877,                0.22446,                 1.2731,                0.90161,                0.89248,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     49,                 1.2436,                0.83648,                0.90256,                0.47409,                0.37784,                0.37871,                0.22448,                 1.2705,                0.90038,                0.89184,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     50,                 1.2417,                0.83487,                0.90213,                  0.485,                0.37211,                0.37922,                0.22443,                 1.2748,                0.90056,                0.89237,             1.0977e-05,             1.0977e-05,             1.0977e-05
